                          name     before      after      delta
          us-east-1a-d2.xlarge     516.41     447.12     -69.29
          us-east-1b-c1.xlarge     218.11     147.56     -70.55
          us-east-1a-c1.medium     100.00      28.08     -71.92
          us-east-1a-c4.xlarge     196.76     123.80     -72.97
         us-east-2a-d2.2xlarge     968.22     894.24     -73.98
          us-west-2a-c1.xlarge     188.59     112.33     -76.26
         us-east-2b-r3.4xlarge     395.47     316.37     -79.09
        us-west-2c-cc2.8xlarge     734.83     655.47     -79.36
         us-east-2c-g3.4xlarge     944.82     858.70     -86.12
         us-east-2a-c4.8xlarge     809.08     713.82     -95.26
         us-east-2a-g3.4xlarge    1017.18     918.67     -98.52
         us-west-2a-g3.4xlarge     988.95     890.10     -98.85
         us-west-2c-g3.4xlarge     996.16     895.31    -100.84
         us-east-2b-i3.2xlarge     509.90     405.78    -104.12
         us-west-2a-c3.4xlarge     655.97     544.36    -111.61
         us-east-2c-c4.8xlarge     780.27     666.99    -113.28
         us-west-2a-c4.2xlarge     372.12     254.49    -117.63
           us-east-1a-m1.large     155.50      37.80    -117.70
         us-east-2a-r3.4xlarge     428.75     309.24    -119.51
         us-east-1a-c4.2xlarge     404.97     279.36    -125.61
         us-west-2c-r3.2xlarge     419.14     286.70    -132.44
         us-west-2a-r3.2xlarge     420.11     287.24    -132.87
         us-west-2b-r3.2xlarge     425.97     291.77    -134.20
         us-east-2b-c4.8xlarge     798.55     658.74    -139.81
         us-west-2b-i3.2xlarge     552.90     412.49    -140.40
         us-west-2b-g3.4xlarge    1030.46     888.01    -142.44
           us-east-1b-m1.small     157.94       9.50    -148.44
         us-east-2c-r3.4xlarge     466.20     315.28    -150.93
         us-west-2c-r4.4xlarge     844.59     692.28    -152.31
           us-east-1a-m1.small     172.30      16.31    -156.00
         us-east-1a-r4.4xlarge     764.86     605.83    -159.02
         us-west-2c-i3.2xlarge     573.03     409.65    -163.38
         us-east-2b-r3.8xlarge     899.17     734.98    -164.19
         us-east-1b-c3.8xlarge    1125.01     946.27    -178.74
         us-east-1b-c4.2xlarge     441.14     261.81    -179.33
         us-east-1b-i2.4xlarge    2390.33    2209.68    -180.65
         us-east-2c-r3.8xlarge     907.71     725.56    -182.15
         us-east-1b-c3.4xlarge     722.84     535.70    -187.13
         us-east-2a-i3.2xlarge     628.99     440.44    -188.55
         us-west-2c-c4.4xlarge     720.43     528.17    -192.27
         us-west-2a-c3.2xlarge     440.46     246.85    -193.61
         us-west-1b-m4.4xlarge     733.67     536.37    -197.30
         us-west-2c-r3.8xlarge    1441.15    1230.13    -211.02
         us-west-1a-r4.4xlarge     933.75     693.23    -240.52
           us-west-2a-i3.large     352.47     101.55    -250.92
         us-west-2b-m4.4xlarge     852.60     600.23    -252.36
         us-west-1b-d2.2xlarge    1280.28    1018.75    -261.53
         us-west-2a-m4.4xlarge     861.07     597.00    -264.07
         us-west-2b-r3.8xlarge    1418.58    1127.34    -291.23
         us-east-1a-d2.8xlarge    3885.49    3576.96    -308.53
         us-west-1a-m4.4xlarge     900.50     591.65    -308.84
         us-east-1b-m2.2xlarge     415.86     105.84    -310.02
         us-west-1b-r4.4xlarge     985.81     675.07    -310.74
         us-east-1b-m2.4xlarge     528.49     217.53    -310.97
         us-west-2b-c4.4xlarge     831.72     505.46    -326.26
